likes,comments,shares,hashtags,num_hashtags,tag_#dog,tag_#dogsoftiktok,tag_#fyp,tag_#puppy,tag_#dogs,tag_#foryou,tag_#funny,tag_#pet,tag_#funnydog,tag_#doglover,log_likes,log_comments,log_shares,likes_per_hashtag,comments_to_likes
4800000,16800,282000,"['#cattledog', '#australiancattledog', '#blueheeler', '#sickpet']",4,0,0,0,0,0,0,0,0,0,0,15.38412668421143,9.729193687429403,12.549665896013254,1200000.0,0.0035
114,4,3,['#dog'],1,1,0,0,0,0,0,0,0,0,0,4.74493212836325,1.6094379124341003,1.3862943611198906,114.0,0.03508771929824561
31000000,193000,4900000,"['#SunsetViews', '#Dog', '#sunset']",3,1,0,0,0,0,0,0,0,0,0,17.249497794707484,12.170450649220749,15.404745967162468,10333333.333333334,0.006225806451612903
947500,4274,121800,"['#puppy', '#cockerspaniel', '#dogsoftiktok', '#puppylove', '#cutepuppy']",5,0,1,0,1,0,0,0,0,0,0,13.761583271347133,8.360539381370861,11.710143844404854,189500.0,0.004510817941952507
223600,1120,36800,"['#dog', '#cachorro', '#perros', '#dogsoftiktok', '#perro', '#dogs', '#bebes', '#amor', '#risas', '#viralvideos', '#loveyou', '#besos', '#relationship', '#puppy', '#miraflores_lima_peru', '#sanisidro', '#arequipa', '#viralvideos', '#perú', '#peru', '#lima']",21,1,1,0,1,1,0,0,0,0,0,12.317618492524995,7.02197642307216,10.513280297700861,10647.619047619048,0.005008944543828265
36100,73,4742,['#dog'],1,1,0,0,0,0,0,0,0,0,0,10.494075844768336,4.304065093204169,8.464425125877582,36100.0,0.0020221606648199446
715700,9899,231300,"['#groomin', '#grooming', '#love', '#dogsoftiktok', '#dog', '#pomeranian', '#lovely', '#puppy', '#fyp', '#반려동물', '#포메라니안', '#foryou', '#viral', '#포메미용', '#포메틱톡', '#doggy', '#groom']",17,1,1,1,1,0,1,0,0,0,0,13.48101776095919,9.20029003612268,12.351475171599722,42100.0,0.013831214195892134
4700000,7223,1100000,"['#dog', '#dogsoftiktok', '#goldenretriever']",3,1,1,0,0,0,0,0,0,0,0,15.363073279446223,8.88516409509682,13.910821646859095,1566666.6666666667,0.0015368085106382979
6200000,15600,454500,"['#dachshund', '#dog', '#dachshundpuppy', '#puppy', '#mylove']",5,1,0,0,1,0,0,0,0,0,0,15.64006001130563,9.65509029374725,13.026955392817271,1240000.0,0.0025161290322580645
517900,3232,99500,"['#dog', '#cute', '#puppy', '#pets', '#doglover', '#cutedog']",6,1,0,0,1,0,0,0,0,0,1,13.157539383284805,8.081165777725433,11.507922973347437,86316.66666666667,0.006240586985904615
9300000,29200,1300000,"['#cockerspaniel', '#cockerspanielpuppy', '#puppy', '#disneyprincess', '#fyp', '#dogs', '#dogsoftiktok', '#puppylove']",8,0,1,1,1,1,0,0,0,0,0,16.04552506565036,10.281958234245314,14.077875591662238,1162500.0,0.0031397849462365592
1800000,6201,467900,"['#ilytommy', '#fyp', '#fypシ', '#fyppppppppppppppppppppppp', '#explore', '#explorepage', '#undergroundmusic', '#viral', '#viralvideo', '#dog', '#musicforyou', '#boat', '#dogsoftiktok', '#funnyvideos', '#doglover', '#pet', '#petsoftiktok', '#petlover', '#dogtok', '#jerk', '#hoodtrap', '#meme', '#tiktok']",23,1,1,1,0,0,0,0,1,0,1,14.403297778421795,8.732627099660395,13.05601201406083,78260.86956521739,0.003445
862700,3656,211800,"['#dog', '#ranking', '#funnymoments', '#fyp', '#usa🇺🇸']",5,1,0,1,0,0,0,0,0,0,0,13.6678234442155,8.204398418149381,12.263402433573614,172540.0,0.004237857888025965
1700000,3408,106100,"['#goldenretriever', '#puppy', '#goldenpuppy', '#dogs', '#dogsoftiktok']",5,0,1,0,1,1,0,0,0,0,0,14.346139397261565,8.134174272137903,11.572146749628347,340000.0,0.002004705882352941
3600000,10200,552400,"['#puppy', '#toy', '#poodle', '#dc', '#sweet', '#mydog', '#love']",7,0,0,0,1,0,0,0,0,0,0,15.096444681204078,9.23024103368252,13.22202951079804,514285.71428571426,0.0028333333333333335
2700000,8200,439300,"['#tailwag', '#thecutest', '#lovehersomuch', '#precious', '#lovedog', '#dogsoftiktok']",6,0,1,0,0,0,0,0,0,0,0,14.80876270134486,9.012011377036412,12.992940106310016,450000.0,0.003037037037037037
653900,13700,163800,"['#cutedog', '#foryou', '#fyp', '#bichonfrise']",4,0,0,1,0,0,1,0,0,0,0,13.390711242834021,9.525224101853109,12.006407555388575,163475.0,0.0209512157822297
3100000,15200,368100,"['#fyp', '#foryou', '#foryoupage', '#fy', '#funny', '#dogsoftiktok', '#dogs', '#labrador']",8,0,1,1,0,1,1,1,0,0,0,14.946912992035967,9.62911649414402,12.816112636016506,387500.0,0.004903225806451613
942200,3408,86600,"['#toypoodles', '#texastoypoodles', '#dogsoftiktok', '#toypoodlepuppy', '#dfwplatinumpoodles💞', '#dogmomsoftiktok', '#poodlelover', '#fortworthtexas', '#dfw', '#dogmom', '#puppylove', '#puppy', '#dallas', '#toypoodlesoftiktok', '#toypoodle']",15,0,1,0,1,0,0,0,0,0,0,13.7559739065933,8.134174272137903,11.369066641827967,62813.333333333336,0.003617066440246232
630700,5454,74700,"['#lobotomy', '#hairlessdog', '#chihuahua', '#hairlesschihuahua', '#dog', '#braincells', '#silly', '#funny', '#dogs', '#dogsoftiktok', '#tiktokdogs', '#random', '#scarytiktoks', '#asmr', '#relatable']",15,1,1,0,0,1,0,1,0,0,0,13.354587178190362,8.604287898267172,11.221248757912162,42046.666666666664,0.00864753448549231
1300000,1141,143500,"['#dog', '#viral', '#foryou', '#foryourpage', '#fyp', '#trending', '#puppy', '#puppytok']",8,1,0,1,1,0,1,0,0,0,0,14.077875591662238,7.040536390215956,11.874097282798648,162500.0,0.0008776923076923077
2000000,2602,209300,"['#fyp', '#dogsoftiktok', '#staffy', '#staffordshirebullterrier', '#staffylove', '#staffyoftiktok', '#puppy', '#cute', '#viral', '#explore', '#explorepage', '#blowthisup', '#unitedkingdom', '#fypage', '#beautiful', '#uk', '#animals', '#natgeo', '#bluestaffy', '#puppiesoftiktok', '#baby', '#relatable', '#funnypuppy', '#fail', '#funnydog', '#viralvideo', '#findingnemo', '#imapiranha', '#fish', '#dentist', '#pixar', '#disney']",32,0,1,1,1,0,0,0,0,1,0,14.508658238524095,7.864419904994565,12.251528686253542,62500.0,0.001301
797800,5098,304000,"['#fyp', '#dog']",2,1,0,1,0,0,0,0,0,0,0,13.589614471899637,8.536799721055155,12.624786269856633,398900.0,0.006390072699924794
1200000,2853,195800,"['#dogs', '#stubborn', '#menace', '#meme', '#funny']",5,0,0,0,0,1,0,1,0,0,0,13.997832948091215,7.956476798036782,12.184854116317803,240000.0,0.0023775
1100000,30500,107500,"['#trainingdogs', '#dog', '#dogsoftiktok', '#dogk9', '#foryou', '#fypシ゚viral', '#militarydog', '#smartdog', '#trending', '#viral', '#k9', '#malinois', '#handler']",13,1,1,0,0,0,1,0,0,0,0,13.910821646859095,10.32551474894327,11.58525542883217,84615.38461538461,0.02772727272727273
16800000,42500,2400000,"['#dalmatian', '#dalmatiansoftiktok', '#dalmatianpuppy', '#showdogsoftiktok', '#showdog', '#fypage', '#fypシ゚viral', '#hearteyes', '#hearteyeddalmatian', '#dogsofttiktok', '#hearteyed', '#heterochromia', '#fypシ', '#heartdog', '#dogtok', '#dog', '#dalmatians', '#puppiesoftiktok', '#puppies']",19,1,0,0,0,0,0,0,0,0,0,16.636889503897294,10.657282884047461,14.690979711984754,884210.5263157894,0.002529761904761905
13900000,67200,4700000,"['#fyp', '#loseit', '#eminem', '#dogsoftiktok', '#doggrooming', '#crazydog']",6,0,1,1,0,0,0,0,0,0,0,16.447399470043365,11.1154434073529,15.363073279446223,2316666.6666666665,0.004834532374100719
65099,561,8881,['#dog'],1,1,0,0,0,0,0,0,0,0,0,11.08367982819666,6.331501849893691,9.091782035852047,65099.0,0.008617643896219603
448200,10200,70100,"['#fyp', '#foryou', '#dog', '#dogs', '#dogsoftiktok', '#funnydog', '#funny', '#pets', '#germanshepherd', '#animals', '#love', '#laugh', '#doglife', '#doglover', '#puppy', '#fy', '#fypage', '#life', '#tiktok']",19,1,1,1,1,1,1,1,0,1,1,13.012997071493285,9.23024103368252,11.157692338256169,23589.473684210527,0.022757697456492636
3900000,11700,333700,"['#kona', '#huskytalk', '#dramaqueen', '#konamalone', '#huskykona', '#konahusky', '#mygirl', '#funny', '#talkingdog', '#fyp', '#foryoupage', '#puppy', '#dogsoftiktok', '#getoutside', '#huskiesoftiktok', '#dog', '#petsoftiktok', '#happygirl', '#ontario', '#canada']",20,1,1,1,1,0,0,1,0,0,0,15.176487367510099,9.367429587218957,12.718000661438602,195000.0,0.003
3400000,9744,134400,"['#gsp', '#gspoftiktok', '#gspcommunity', '#gspoftheday', '#gsplove', '#gsppuppy', '#gspdaily', '#gspworld', '#doggos4prez', '#germanshorthairedpointer', '#dogsoftiktok', '#puppiesoftiktok', '#dogyawns', '#puppy', '#puppyyawn']",15,0,1,0,1,0,0,0,0,0,0,15.039286283703994,9.184509611941662,11.808583147519697,226666.66666666666,0.0028658823529411764
539600,1953,29400,"['#fyp', '#dog', '#dogsoftiktok', '#dogtok', '#dogsvideo', '#funny', '#trending', '#jokes']",8,1,1,1,0,0,0,1,0,0,0,13.198585256538632,7.577633832602728,10.288783966353765,67450.0,0.00361934766493699
1100000,2802,54300,"['#australianshepherd', '#maverick', '#fyp', '#trending', '#xyzbca', '#relatable', '#puppy', '#funny']",8,0,0,1,1,0,0,1,0,0,0,13.910821646859095,7.938445551164788,10.902297921958713,137500.0,0.0025472727272727274
4000000,10900,693800,"['#cotondetulear', '#dogsoftiktok', '#cutedoglife']",3,0,1,0,0,0,0,0,0,0,0,15.201805169084134,9.296609807128359,13.449940454854309,1333333.3333333333,0.002725
1500000,10800,134300,"['#asrm', '#asrmsounds', '#asrmvideo', '#cunyeu', '#dog', '#fyp', '#cute', '#pet', '#xh', '#thucung', '#poodle', '#bunquystoc']",12,1,0,1,0,0,0,0,1,0,0,14.220976332738882,9.287394001418473,11.807838828499989,125000.0,0.0072
676800,5542,71400,"['#dogsoftiktok', '#miniaturedachshund', '#miniaturedachshundpuppy', '#puppy', '#dachshundaddict', '#fyp', '#puppydog', '#dachshundsoftiktok', '#puppytiktok']",9,0,1,1,1,0,0,0,0,0,0,13.42513256481443,8.620291149419804,11.17606715383184,75200.0,0.008188534278959811
1900000,2699,274800,"['#fyp', '#wienerdog', '#dogsoftiktok', '#dog', '#dogtok', '#viral_video', '#dackel', '#trendingvideo', '#wienerdogs']",9,1,1,1,0,0,0,0,0,0,0,14.45736497045232,7.90100705199242,12.523802478333899,211111.11111111112,0.0014205263157894736
541700,22600,65000,"['#puppy', '#goldenretrieverlife', '#cute', '#fyp']",4,0,0,1,1,0,0,0,0,0,0,13.20246946768453,10.025749432069084,11.082157933374816,135425.0,0.041720509507107255
2400000,9191,427700,"['#dog', '#beaglepuppy', '#бігль', '#beagle', '#beagle']",5,1,0,0,0,0,0,0,0,0,0,14.690979711984754,9.126088819528592,12.966179632299712,480000.0,0.0038295833333333333
129100,1106,63500,"['#fyp', '#dog', '#dogs', '#funnydog', '#funnyvideo', '#pet', '#dogsoftiktok']",7,1,1,1,0,1,0,0,1,1,0,11.768350322738119,7.009408932708637,11.05881093278828,18442.85714285714,0.008567002323780016
1500000,8983,127500,"['#germanshepherd', '#gsd', '#germanshepherdsoftiktok', '#germanshepherdpuppy', '#gsdpuppy', '#gsdlove', '#gsdoftiktok', '#germanshepherddog', '#germanshepherdlife', '#puppy', '#puppytiktok', '#gsdlife', '#germanshepherdsdaily', '#germanshepherds', '#headtilt']",15,0,0,0,1,0,0,0,0,0,0,14.220976332738882,9.103200496418278,11.755879486687116,100000.0,0.0059886666666666664
518900,7211,95500,"['#cute', '#cutedog', '#puppy', '#puppydog', '#doglover', '#pet', '#fyp', '#animals', '#funny', '#funnyvideos']",10,0,0,1,1,0,0,1,1,0,1,13.159468392507568,8.883501584323207,11.466891997618188,51890.0,0.013896704567354019
2600000,17800,1300000,['#dog'],1,1,0,0,0,0,0,0,0,0,0,14.77102238760702,9.787009914477434,14.077875591662238,2600000.0,0.006846153846153846
2200000,3734,69500,"['#foryoupageofficial', '#dogsoftiktok', '#dog', '#dogs', '#fypage', '#fyp', '#foryoupage', '#cute', '#dogmom', '#foryoupage❤️❤️', '#fypageシ']",11,1,1,1,0,1,0,0,0,0,0,14.603968372873895,8.225503097566918,11.149096419938578,200000.0,0.0016972727272727272
